year	numdeaths
1982	1830
1983	1933
1984	1912
1985	2035
1986	2060
1987	2151
1988	2189
1989	2198
1990	2172
1991	2198
1992	2284
1993	2322
1994	2480
1995	2400
1996	2453
1997	2526
1998	2465
1999	2463
2000	2544
2001	2570
2002	2386
2003	2383
2004	2197
2005	2322
2006	2128
2007	2242
2008	2150
2009	2245
2010	2199
2011	2235
2012	2249
2013	2255
2014	2257
2015	2261
2016	2269
2017	2265
2018	2272
2019	2275
2020	2271
