year	numdeaths
1982	352
1983	350
1984	404
1985	414
1986	456
1987	448
1988	469
1989	500
1990	528
1991	506
1992	542
1993	546
1994	608
1995	556
1996	595
1997	599
1998	615
1999	624
2000	689
2001	678
2002	726
2003	742
2004	790
2005	709
2006	726
2007	725
2008	840
2009	757
2010	829
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
