year	numdeaths
1982	152
1983	145
1984	184
1985	192
1986	182
1987	210
1988	219
1989	210
1990	188
1991	201
1992	224
1993	219
1994	265
1995	233
1996	253
1997	277
1998	245
1999	276
2000	268
2001	281
2002	276
2003	284
2004	272
2005	295
2006	304
2007	318
2008	293
2009	325
2010	350
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
