year	numdeaths
1982	429
1983	458
1984	455
1985	491
1986	462
1987	501
1988	481
1989	513
1990	529
1991	558
1992	578
1993	533
1994	591
1995	638
1996	592
1997	646
1998	659
1999	663
2000	699
2001	645
2002	625
2003	652
2004	705
2005	737
2006	709
2007	758
2008	782
2009	775
2010	842
2011	765
2012	747
2013	731
2014	715
2015	691
2016	677
2017	670
2018	663
2019	642
2020	636
