year	numdeaths
1982	126
1983	124
1984	140
1985	111
1986	138
1987	139
1988	139
1989	148
1990	149
1991	141
1992	175
1993	156
1994	158
1995	152
1996	164
1997	190
1998	178
1999	183
2000	191
2001	187
2002	209
2003	186
2004	236
2005	249
2006	234
2007	248
2008	217
2009	260
2010	247
2011	236
2012	231
2013	227
2014	223
2015	216
2016	213
2017	211
2018	209
2019	204
2020	202
