year	numdeaths
1982	158
1983	154
1984	142
1985	180
1986	138
1987	153
1988	181
1989	181
1990	180
1991	224
1992	210
1993	200
1994	211
1995	191
1996	211
1997	139
1998	156
1999	135
2000	149
2001	137
2002	150
2003	129
2004	129
2005	108
2006	116
2007	94
2008	102
2009	103
2010	91
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
