year	numdeaths
1982	1256
1983	1324
1984	1400
1985	1428
1986	1549
1987	1653
1988	1739
1989	1836
1990	1941
1991	2015
1992	2029
1993	2201
1994	2259
1995	2329
1996	2434
1997	2570
1998	2560
1999	2611
2000	2844
2001	2939
2002	3118
2003	3046
2004	3330
2005	3532
2006	3623
2007	3826
2008	4004
2009	4178
2010	4044
2011	3877
2012	3804
2013	3728
2014	3651
2015	3544
2016	3472
2017	3420
2018	3368
2019	3258
2020	3190
