year	numdeaths
1982	663
1983	754
1984	784
1985	777
1986	727
1987	772
1988	847
1989	814
1990	933
1991	884
1992	958
1993	915
1994	988
1995	957
1996	1001
1997	1017
1998	1010
1999	1007
2000	1089
2001	1064
2002	1144
2003	1111
2004	1083
2005	1050
2006	1058
2007	1154
2008	1173
2009	1168
2010	1250
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
