year	numdeaths
1982	216
1983	261
1984	243
1985	269
1986	270
1987	281
1988	293
1989	281
1990	317
1991	292
1992	344
1993	272
1994	288
1995	334
1996	323
1997	325
1998	343
1999	364
2000	354
2001	390
2002	330
2003	382
2004	385
2005	413
2006	455
2007	425
2008	455
2009	465
2010	448
2011	434
2012	433
2013	431
2014	429
2015	428
2016	425
2017	424
2018	420
2019	414
2020	404
