year	numdeaths
1982	74
1983	92
1984	81
1985	93
1986	68
1987	72
1988	79
1989	74
1990	73
1991	68
1992	81
1993	68
1994	95
1995	81
1996	86
1997	62
1998	91
1999	95
2000	82
2001	61
2002	71
2003	76
2004	52
2005	65
2006	51
2007	48
2008	60
2009	42
2010	63
2011	58
2012	60
2013	62
2014	65
2015	66
2016	67
2017	69
2018	71
2019	72
2020	74
