year	numdeaths
1982	261
1983	258
1984	278
1985	281
1986	303
1987	274
1988	285
1989	349
1990	362
1991	327
1992	355
1993	331
1994	348
1995	440
1996	428
1997	432
1998	469
1999	481
2000	511
2001	506
2002	511
2003	544
2004	532
2005	587
2006	557
2007	556
2008	555
2009	643
2010	640
2011	596
2012	587
2013	577
2014	567
2015	554
2016	545
2017	538
2018	531
2019	517
2020	507
