year	numdeaths
1982	89
1983	79
1984	87
1985	111
1986	88
1987	80
1988	106
1989	99
1990	108
1991	110
1992	117
1993	101
1994	123
1995	111
1996	138
1997	76
1998	100
1999	75
2000	80
2001	76
2002	78
2003	72
2004	76
2005	62
2006	76
2007	57
2008	61
2009	57
2010	52
2011	65
2012	68
2013	72
2014	75
2015	77
2016	80
2017	83
2018	86
2019	88
2020	91
