year	numdeaths
1982	222
1983	244
1984	222
1985	282
1986	266
1987	250
1988	227
1989	275
1990	217
1991	251
1992	237
1993	253
1994	248
1995	291
1996	273
1997	270
1998	255
1999	262
2000	261
2001	299
2002	349
2003	297
2004	323
2005	346
2006	351
2007	342
2008	350
2009	352
2010	367
2011	340
2012	340
2013	339
2014	338
2015	337
2016	336
2017	335
2018	332
2019	328
2020	322
