year	numdeaths
1982	1381
1983	1448
1984	1509
1985	1481
1986	1556
1987	1539
1988	1547
1989	1669
1990	1621
1991	1622
1992	1822
1993	1730
1994	1644
1995	1718
1996	1690
1997	1747
1998	1806
1999	1785
2000	1818
2001	1778
2002	1805
2003	1855
2004	1849
2005	1976
2006	2083
2007	2112
2008	2106
2009	2242
2010	2277
2011	2106
2012	2099
2013	2084
2014	2075
2015	2056
2016	2045
2017	2032
2018	2015
2019	2002
2020	1979
