year	numdeaths
1982	63
1983	36
1984	58
1985	52
1986	41
1987	51
1988	43
1989	60
1990	48
1991	51
1992	65
1993	79
1994	54
1995	56
1996	54
1997	54
1998	66
1999	41
2000	53
2001	53
2002	55
2003	60
2004	51
2005	47
2006	38
2007	44
2008	37
2009	31
2010	33
2011	40
2012	42
2013	44
2014	46
2015	49
2016	50
2017	52
2018	54
2019	56
2020	58
