year	numdeaths
1982	1810
1983	1906
1984	1964
1985	1972
1986	2018
1987	2040
1988	2028
1989	2182
1990	2150
1991	2180
1992	2400
1993	2263
1994	2235
1995	2356
1996	2282
1997	2393
1998	2465
1999	2448
2000	2517
2001	2423
2002	2430
2003	2507
2004	2554
2005	2713
2006	2792
2007	2870
2008	2888
2009	3016
2010	3123
