year	numdeaths
1982	1203
1983	1175
1984	1237
1985	1241
1986	1361
1987	1296
1988	1338
1989	1379
1990	1402
1991	1446
1992	1500
1993	1531
1994	1591
1995	1603
1996	1673
1997	1712
1998	1793
1999	1834
2000	1894
2001	1901
2002	1895
2003	2088
2004	2114
2005	2255
2006	2327
2007	2607
2008	2456
2009	2567
2010	2662
