year	numdeaths
1982	738
1983	740
1984	877
1985	863
1986	837
1987	902
1988	846
1989	899
1990	915
1991	967
1992	947
1993	943
1994	931
1995	896
1996	1003
1997	877
1998	884
1999	926
2000	927
2001	966
2002	931
2003	920
2004	880
2005	892
2006	828
2007	905
2008	936
2009	980
2010	1018
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
