year	numdeaths
1982	169
1983	184
1984	217
1985	197
1986	193
1987	221
1988	185
1989	212
1990	229
1991	218
1992	240
1993	219
1994	203
1995	203
1996	218
1997	221
1998	185
1999	211
2000	203
2001	223
2002	203
2003	197
2004	191
2005	190
2006	185
2007	196
2008	196
2009	192
2010	219
2011	208
2012	209
2013	209
2014	209
2015	209
2016	210
2017	209
2018	210
2019	210
2020	210
