year	numdeaths
1982	125
1983	146
1984	173
1985	170
1986	153
1987	159
1988	168
1989	155
1990	177
1991	171
1992	162
1993	172
1994	173
1995	171
1996	194
1997	137
1998	168
1999	170
2000	166
2001	166
2002	185
2003	178
2004	152
2005	148
2006	150
2007	183
2008	182
2009	182
2010	198
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
