year	numdeaths
1982	137
1983	128
1984	139
1985	145
1986	109
1987	123
1988	122
1989	134
1990	121
1991	119
1992	146
1993	147
1994	149
1995	137
1996	140
1997	116
1998	157
1999	136
2000	135
2001	114
2002	126
2003	136
2004	103
2005	112
2006	89
2007	92
2008	97
2009	73
2010	96
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
