year	numdeaths
1982	10
1983	12
1984	8
1985	9
1986	6
1987	10
1988	10
1989	5
1990	10
1991	9
1992	11
1993	5
1994	12
1995	9
1996	8
1997	7
1998	7
1999	9
2000	11
2001	11
2002	11
2003	11
2004	8
2005	9
2006	9
2007	9
2008	9
2009	7
2010	11
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
