year	numdeaths
1982	34
1983	45
1984	43
1985	30
1986	35
1987	25
1988	33
1989	28
1990	30
1991	29
1992	25
1993	16
1994	27
1995	38
1996	29
1997	24
1998	22
1999	31
2000	19
2001	17
2002	26
2003	17
2004	14
2005	22
2006	21
2007	26
2008	10
2009	20
2010	22
2011	22
2012	23
2013	24
2014	25
2015	26
2016	26
2017	27
2018	28
2019	29
2020	30
