year	numdeaths
1982	240
1983	269
1984	307
1985	309
1986	307
1987	310
1988	371
1989	328
1990	403
1991	403
1992	389
1993	397
1994	450
1995	435
1996	465
1997	437
1998	454
1999	509
2000	538
2001	521
2002	618
2003	594
2004	732
2005	647
2006	671
2007	665
2008	694
2009	620
2010	662
2011	649
2012	653
2013	654
2014	656
2015	654
2016	655
2017	655
2018	654
2019	656
2020	654
