year	numdeaths
1982	671
1983	636
1984	656
1985	647
1986	685
1987	662
1988	669
1989	734
1990	709
1991	711
1992	726
1993	754
1994	790
1995	776
1996	779
1997	772
1998	813
1999	869
2000	872
2001	946
2002	959
2003	942
2004	1013
2005	964
2006	1065
2007	1232
2008	1186
2009	1148
2010	1225
2011	1132
2012	1136
2013	1135
2014	1134
2015	1132
2016	1129
2017	1126
2018	1119
2019	1112
2020	1098
