year	numdeaths
1982	189
1983	213
1984	228
1985	184
1986	206
1987	220
1988	210
1989	285
1990	264
1991	266
1992	373
1993	374
1994	358
1995	367
1996	359
1997	343
1998	358
1999	383
2000	359
2001	387
2002	415
2003	390
2004	361
2005	412
2006	410
2007	460
2008	403
2009	468
2010	444
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
