year	numdeaths
1982	220
1983	190
1984	229
1985	227
1986	224
1987	249
1988	270
1989	270
1990	243
1991	270
1992	284
1993	293
1994	328
1995	324
1996	320
1997	307
1998	274
1999	286
2000	267
2001	268
2002	274
2003	273
2004	269
2005	276
2006	256
2007	266
2008	283
2009	283
2010	331
