year	numdeaths
1982	183
1983	189
1984	219
1985	228
1986	236
1987	249
1988	225
1989	282
1990	288
1991	270
1992	279
1993	303
1994	316
1995	306
1996	324
1997	327
1998	331
1999	354
2000	370
2001	353
2002	399
2003	399
2004	432
2005	405
2006	398
2007	389
2008	470
2009	436
2010	472
2011	435
2012	436
2013	436
2014	435
2015	434
2016	433
2017	432
2018	429
2019	427
2020	422
