year	numdeaths
1982	338
1983	374
1984	410
1985	427
1986	401
1987	436
1988	505
1989	505
1990	501
1991	519
1992	555
1993	550
1994	572
1995	615
1996	606
1997	659
1998	646
1999	646
2000	683
2001	698
2002	686
2003	767
2004	772
2005	805
2006	808
2007	793
2008	844
2009	823
2010	866
2011	797
2012	800
2013	799
2014	798
2015	797
2016	795
2017	793
2018	787
2019	782
2020	773
