year	numdeaths
1982	596
1983	623
1984	640
1985	672
1986	688
1987	798
1988	772
1989	782
1990	829
1991	804
1992	867
1993	853
1994	897
1995	935
1996	905
1997	902
1998	966
1999	1005
2000	971
2001	1074
2002	1053
2003	1146
2004	1200
2005	1273
2006	1250
2007	1315
2008	1397
2009	1412
2010	1432
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
