year	numdeaths
1982	198
1983	189
1984	226
1985	219
1986	235
1987	224
1988	222
1989	270
1990	248
1991	284
1992	290
1993	313
1994	290
1995	332
1996	302
1997	293
1998	338
1999	334
2000	355
2001	362
2002	391
2003	367
2004	398
2005	368
2006	400
2007	443
2008	433
2009	479
2010	454
2011	441
2012	442
2013	442
2014	441
2015	440
2016	439
2017	438
2018	435
2019	433
2020	427
