year	numdeaths
1982	87
1983	107
1984	116
1985	128
1986	110
1987	107
1988	124
1989	113
1990	128
1991	115
1992	116
1993	116
1994	120
1995	124
1996	135
1997	89
1998	128
1999	110
2000	102
2001	106
2002	127
2003	120
2004	105
2005	103
2006	101
2007	131
2008	122
2009	121
2010	139
2011	125
2012	126
2013	125
2014	125
2015	125
2016	125
2017	124
2018	124
2019	123
2020	122
