year	numdeaths
1982	182
1983	166
1984	208
1985	184
1986	208
1987	236
1988	205
1989	215
1990	210
1991	253
1992	207
1993	243
1994	238
1995	216
1996	249
1997	216
1998	211
1999	251
2000	250
2001	234
2002	234
2003	255
2004	221
2005	214
2006	184
2007	240
2008	245
2009	249
2010	258
2011	242
2012	241
2013	239
2014	237
2015	236
2016	234
2017	233
2018	231
2019	226
2020	220
