year	numdeaths
1982	4688
1983	4779
1984	4932
1985	4875
1986	4896
1987	5217
1988	4943
1989	5104
1990	5207
1991	5143
1992	5156
1993	5121
1994	5415
1995	5216
1996	5365
1997	5434
1998	5456
1999	5434
2000	5421
2001	5491
2002	5486
2003	5438
2004	5934
2005	5859
2006	6119
2007	6058
2008	6097
2009	6062
2010	6251
2011	5817
2012	5800
2013	5763
2014	5738
2015	5696
2016	5665
2017	5630
2018	5578
2019	5535
2020	5457
