year	numdeaths
1982	365
1983	393
1984	369
1985	435
1986	453
1987	452
1988	473
1989	487
1990	529
1991	562
1992	583
1993	616
1994	625
1995	688
1996	677
1997	726
1998	752
1999	708
2000	733
2001	711
2002	698
2003	659
2004	710
2005	658
2006	649
2007	608
2008	619
2009	617
2010	563
2011	598
2012	599
2013	606
2014	609
2015	615
2016	621
2017	624
2018	630
2019	631
2020	633
