year	numdeaths
1982	95
1983	78
1984	93
1985	96
1986	93
1987	94
1988	95
1989	88
1990	105
1991	108
1992	128
1993	116
1994	117
1995	105
1996	131
1997	115
1998	134
1999	132
2000	135
2001	128
2002	146
2003	142
2004	154
2005	121
2006	137
2007	137
2008	125
2009	141
2010	129
2011	127
2012	125
2013	124
2014	123
2015	120
2016	120
2017	121
2018	122
2019	121
2020	123
