year	numdeaths
1982	609
1983	644
1984	755
1985	845
1986	820
1987	905
1988	933
1989	954
1990	958
1991	1061
1992	1070
1993	1023
1994	1150
1995	1106
1996	1147
1997	1070
1998	1093
1999	1021
2000	1017
2001	1018
2002	1023
2003	1171
2004	1308
2005	1299
2006	1305
2007	1215
2008	1211
2009	1228
2010	1160
2011	1154
2012	1158
2013	1156
2014	1151
2015	1150
2016	1151
2017	1144
2018	1147
2019	1141
2020	1137
