year	numdeaths
1982	311
1983	275
1984	301
1985	303
1986	309
1987	366
1988	359
1989	398
1990	402
1991	391
1992	420
1993	462
1994	484
1995	471
1996	502
1997	519
1998	600
1999	617
2000	621
2001	681
2002	671
2003	671
2004	706
2005	691
2006	723
2007	750
2008	793
2009	855
2010	826
2011	791
2012	791
2013	787
2014	785
2015	780
2016	778
2017	774
2018	768
2019	764
2020	755
