year	numdeaths
1982	220
1983	233
1984	260
1985	278
1986	242
1987	303
1988	342
1989	260
1990	300
1991	310
1992	321
1993	352
1994	341
1995	360
1996	354
1997	349
1998	377
1999	370
2000	363
2001	376
2002	364
2003	400
2004	403
2005	361
2006	365
2007	404
2008	378
2009	380
2010	417
2011	387
2012	382
2013	377
2014	372
2015	366
2016	361
2017	358
2018	354
2019	347
2020	340
