year	numdeaths
1982	674
1983	704
1984	661
1985	635
1986	658
1987	672
1988	623
1989	630
1990	621
1991	666
1992	638
1993	627
1994	633
1995	673
1996	661
1997	723
1998	668
1999	661
2000	707
2001	669
2002	700
2003	657
2004	665
2005	686
2006	666
2007	686
2008	714
2009	661
2010	686
2011	670
2012	665
2013	659
2014	653
2015	646
2016	640
2017	635
2018	629
2019	620
2020	609
