year	numdeaths
1982	175
1983	169
1984	219
1985	193
1986	211
1987	197
1988	206
1989	221
1990	233
1991	229
1992	225
1993	233
1994	216
1995	235
1996	235
1997	255
1998	245
1999	257
2000	250
2001	275
2002	277
2003	277
2004	315
2005	251
2006	281
2007	309
2008	280
2009	326
2010	290
2011	293
2012	293
2013	293
2014	292
2015	292
2016	291
2017	291
2018	290
2019	287
2020	282
