year	numdeaths
1982	1202
1983	1261
1984	1429
1985	1567
1986	1516
1987	1663
1988	1720
1989	1785
1990	1857
1991	1993
1992	2058
1993	2042
1994	2090
1995	2148
1996	2238
1997	2091
1998	2155
1999	2109
2000	2030
2001	1986
2002	2122
2003	2297
2004	2517
2005	2412
2006	2510
2007	2306
2008	2349
2009	2323
2010	2263
2011	NA
2012	NA
2013	NA
2014	NA
2015	NA
2016	NA
2017	NA
2018	NA
2019	NA
2020	NA
