year	numdeaths
1982	1826
1983	1903
1984	1846
1985	1846
1986	1816
1987	1861
1988	1770
1989	1729
1990	1826
1991	1848
1992	1816
1993	1848
1994	1835
1995	1947
1996	1847
1997	1926
1998	1900
1999	1966
2000	1972
2001	1859
2002	1914
2003	1880
2004	1941
2005	1922
2006	1940
2007	1906
2008	2019
2009	1950
2010	1999
