year	numdeaths
1982	141
1983	173
1984	193
1985	203
1986	209
1987	228
1988	204
1989	270
1990	276
1991	266
1992	250
1993	273
1994	314
1995	331
1996	317
1997	267
1998	331
1999	352
2000	325
2001	380
2002	410
2003	419
2004	422
2005	356
2006	424
2007	393
2008	413
2009	403
2010	432
2011	391
2012	381
2013	372
2014	363
2015	349
2016	341
2017	337
2018	334
2019	322
2020	319
